,image,mask
0,trees.v19i.coco-segmentation/valid/images/1-kanan-atas_png_jpg.rf.f7ed7dbdace228956d3c550eaeb31a74.jpg,trees.v19i.coco-segmentation/valid/masks/1-kanan-atas_png_jpg.rf.f7ed7dbdace228956d3c550eaeb31a74_mask.png
1,trees.v19i.coco-segmentation/valid/images/1-kiri-bawah_png_jpg.rf.12c89e8057a8a2c49ee8ce315fcd8bc3.jpg,trees.v19i.coco-segmentation/valid/masks/1-kiri-bawah_png_jpg.rf.12c89e8057a8a2c49ee8ce315fcd8bc3_mask.png
2,trees.v19i.coco-segmentation/valid/images/11aa_jpg.rf.4e0cba891e83857571a11f83485c88f6.jpg,trees.v19i.coco-segmentation/valid/masks/11aa_jpg.rf.4e0cba891e83857571a11f83485c88f6_mask.png
3,trees.v19i.coco-segmentation/valid/images/12aa_jpg.rf.9b8e3e5d057af40e2db10e01f970c0ec.jpg,trees.v19i.coco-segmentation/valid/masks/12aa_jpg.rf.9b8e3e5d057af40e2db10e01f970c0ec_mask.png
4,trees.v19i.coco-segmentation/valid/images/14aa_jpg.rf.3aa16679e0e2868716b4d30884a541d0.jpg,trees.v19i.coco-segmentation/valid/masks/14aa_jpg.rf.3aa16679e0e2868716b4d30884a541d0_mask.png
5,trees.v19i.coco-segmentation/valid/images/14aa_jpg.rf.d1e30cb4bf75e22bd1e1c238b2120faa.jpg,trees.v19i.coco-segmentation/valid/masks/14aa_jpg.rf.d1e30cb4bf75e22bd1e1c238b2120faa_mask.png
6,trees.v19i.coco-segmentation/valid/images/16aaa_jpg.rf.129ef094eb69ddaddcdcc982d1dda814.jpg,trees.v19i.coco-segmentation/valid/masks/16aaa_jpg.rf.129ef094eb69ddaddcdcc982d1dda814_mask.png
7,trees.v19i.coco-segmentation/valid/images/16aaa_jpg.rf.d3be20d09371a8bd6bca619ab62381fd.jpg,trees.v19i.coco-segmentation/valid/masks/16aaa_jpg.rf.d3be20d09371a8bd6bca619ab62381fd_mask.png
8,trees.v19i.coco-segmentation/valid/images/17aa_jpg.rf.5e08ec14e2156c23b867296ab7430dfa.jpg,trees.v19i.coco-segmentation/valid/masks/17aa_jpg.rf.5e08ec14e2156c23b867296ab7430dfa_mask.png
9,trees.v19i.coco-segmentation/valid/images/17aa_jpg.rf.7452d6918e2241603ffa6e97ce3d399c.jpg,trees.v19i.coco-segmentation/valid/masks/17aa_jpg.rf.7452d6918e2241603ffa6e97ce3d399c_mask.png
10,trees.v19i.coco-segmentation/valid/images/19aaa_jpg.rf.4bc05f7e87079b0e1338745fbc4a1a7e.jpg,trees.v19i.coco-segmentation/valid/masks/19aaa_jpg.rf.4bc05f7e87079b0e1338745fbc4a1a7e_mask.png
11,trees.v19i.coco-segmentation/valid/images/1aa_jpg.rf.e690d652e0d37e8c6294306be6c517d2.jpg,trees.v19i.coco-segmentation/valid/masks/1aa_jpg.rf.e690d652e0d37e8c6294306be6c517d2_mask.png
12,trees.v19i.coco-segmentation/valid/images/2-kanan-atas_png_jpg.rf.cc37a2b5bb8750ff85053f4b2b076adc.jpg,trees.v19i.coco-segmentation/valid/masks/2-kanan-atas_png_jpg.rf.cc37a2b5bb8750ff85053f4b2b076adc_mask.png
13,trees.v19i.coco-segmentation/valid/images/2-kanan-bawah_png_jpg.rf.5992acb81d4e02f7c3e9e2734e6a1827.jpg,trees.v19i.coco-segmentation/valid/masks/2-kanan-bawah_png_jpg.rf.5992acb81d4e02f7c3e9e2734e6a1827_mask.png
14,trees.v19i.coco-segmentation/valid/images/2-kiri-atas_png_jpg.rf.39a2b61b4e637b64d833ed7567642d07.jpg,trees.v19i.coco-segmentation/valid/masks/2-kiri-atas_png_jpg.rf.39a2b61b4e637b64d833ed7567642d07_mask.png
15,trees.v19i.coco-segmentation/valid/images/20aaa_jpg.rf.6b762db6f9d7231d7002cfa5b92c4b17.jpg,trees.v19i.coco-segmentation/valid/masks/20aaa_jpg.rf.6b762db6f9d7231d7002cfa5b92c4b17_mask.png
16,trees.v19i.coco-segmentation/valid/images/20aaa_jpg.rf.f76abd900a58ab5d1e6ee80e60fa9df4.jpg,trees.v19i.coco-segmentation/valid/masks/20aaa_jpg.rf.f76abd900a58ab5d1e6ee80e60fa9df4_mask.png
17,trees.v19i.coco-segmentation/valid/images/20aa_jpg.rf.1e35120f30a6d95f548ed592aafa0f7f.jpg,trees.v19i.coco-segmentation/valid/masks/20aa_jpg.rf.1e35120f30a6d95f548ed592aafa0f7f_mask.png
18,trees.v19i.coco-segmentation/valid/images/21aa_jpg.rf.0f3755367f38265fc3cfce411feb30d6.jpg,trees.v19i.coco-segmentation/valid/masks/21aa_jpg.rf.0f3755367f38265fc3cfce411feb30d6_mask.png
